['Dois C\xf3rregos', 'Brazil']
['Santa F\xe9', 'Brazil']
['Engenheiro Beltr\xe3o', 'Brazil']
['Barrac\xe3o', 'Brazil']
['Cambori\xfa', 'Brazil']
['Bra\xe7o Do Norte', 'Brazil']
['Alpin\xf3polis', 'Brazil']
['C\xe9u Azul', 'Brazil']
['Pinh\xe3o', 'Brazil']
['Jo\xe3o Monlevade', 'Brazil']
['\xc1gua Verde', 'Brazil']
['Ivaipor\xe3', 'Brazil']
['Itaguar\xe1', 'Brazil']
['Caet\xe9', 'Brazil']
['Guaxup\xe9', 'Brazil']
['Sapuca\xed', 'Brazil']
['Patroc\xednio', 'Brazil']
['Janu\xe1ria', 'Brazil']
['Ita\xfa De Minas', 'Brazil']
['Muria\xe9', 'Brazil']
['Para\xedso', 'Brazil']
['N\xfacleo Bandeirante', 'Brazil']
['S\xe3o Gabriel', 'Brazil']
['Ant\xf4nio', 'Brazil']
['Tocantin\xf3polis', 'Brazil']
['Corn\xe9lio Proc\xf3pio', 'Brazil']
['Jacar\xe8zinho', 'Brazil']
['Morro Da Fuma\xe7a', 'Brazil']
['Cl\xe1udio', 'Brazil']
['Jana\xfaba', 'Brazil']
['S\xe3o Louren\xe7o', 'Brazil']
['Dores Do Indai\xe1', 'Brazil']
['S\xe3o Luiz Gonzaga', 'Brazil']
['Tel\xeamaco Borba', 'Brazil']
['Rol\xe2ndia', 'Brazil']
['Andir\xe1', 'Brazil']
['Assa\xed', 'Brazil']
['Sertan\xf3polis', 'Brazil']
['S\xe3o Miguel Do Igua\xe7u', 'Brazil']
['Clevel\xe2ndia', 'Brazil']
['Guarania\xe7u', 'Brazil']
['Tup\xe3', 'Brazil']
['S\xe3o Sim\xe3o', 'Brazil']
['Am\xe9rico Brasiliense', 'Brazil']
['\xc1guas De Lind\xf3ia', 'Brazil']
['Guimar\xe3es', 'Brazil']
['Jos\xe9', 'Brazil']
['Itanha\xe9m', 'Brazil']
['Gon\xe7alves', 'Brazil']
['Estr\xeala', 'Brazil']
['Cosm\xf3polis', 'Brazil']
['Mongagu\xe1', 'Brazil']
['Bra\xfana', 'Brazil']
['Santa Ad\xe9lia', 'Brazil']
['Iep\xea', 'Brazil']
['Cap\xe3o Bonito', 'Brazil']
['Cafel\xe2ndia', 'Brazil']
['Tucum\xe3', 'Brazil']
['Jo\xe3o Pedro', 'Brazil']
['Luc\xe9lia', 'Brazil']
['Reden\xe7\xe3o', 'Brazil']
['Bragan\xe7a', 'Brazil']
